fighter_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,win_rate,f_losses,loss_rate,f_draws,draw_rate,f_dc_nc,dc_nc_rate,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Avg,career_TD_Acc,career_TD_Def,career_Sub_Avg
Yasuhiro Urushitani,165.1,125.0,,Southpaw,1976-09-08,21,60,8,23,6,17,0.0,0,3.47,39,4.71,65,0.0,0,80,0.0
Sho Patrick Usami,175.26,155.0,177.8,Orthodox,2000-05-08,4,80,1,20,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Kamaru Usman,182.88,170.0,193.04,Switch,1987-05-11,20,83,4,17,0,0,0.0,0,4.36,52,2.74,54,2.82,45,89,0.1
Mohammed Usman,187.96,239.0,200.66,Orthodox,1989-04-01,11,73,4,27,0,0,0.0,0,3.41,36,4.41,50,0.69,17,60,0.0
Darren Uyenoyama,167.64,125.0,165.1,Orthodox,1979-10-15,10,62,6,38,0,0,0.0,0,1.34,39,2.21,66,1.42,33,35,0.7
Richie Vaculik,167.64,125.0,175.26,Orthodox,1983-06-19,10,71,4,29,0,0,0.0,0,3.69,46,4.09,57,3.0,45,31,1.0
Artem Vakhitov,185.42,205.0,190.5,Orthodox,1991-04-04,3,75,1,25,0,0,0.0,0,3.88,85,0.68,80,0.0,0,100,0.0
Egidijus Valavicius,182.88,200.0,,Orthodox,,29,71,12,29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Genaro Valdez,175.26,155.0,182.88,Orthodox,1992-01-16,10,77,3,23,0,0,0.0,0,4.08,30,7.16,48,1.54,44,36,0.4
Charlie Valencia,160.02,135.0,162.56,Orthodox,1974-10-31,12,63,7,37,0,0,0.0,0,2.58,37,2.61,77,1.4,53,75,0.5
Robert Valentin,187.96,185.0,195.58,Orthodox,1995-03-31,11,69,4,25,0,0,1.0,6,0.15,50,6.16,19,0.0,0,66,4.4
Victor Valenzuela,177.8,155.0,,,,13,62,6,29,2,10,0.0,0,1.28,100,2.55,0,0.0,0,0,0.0
Ivan Valenzuela,187.96,185.0,195.58,Orthodox,1992-11-17,8,80,2,20,0,0,0.0,0,0.0,0,9.6,33,0.0,0,0,0.0
Timur Valiev,167.64,135.0,170.18,Orthodox,1990-01-19,18,82,3,14,0,0,1.0,5,5.19,53,3.33,45,1.73,40,55,0.3
Victor Valimaki,182.88,205.0,,Orthodox,,18,64,10,36,0,0,0.0,0,3.94,30,2.99,67,0.9,14,0,0.0
Andrew Valladerez,,135.0,,,,5,42,7,58,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Kevin Vallejos,170.18,145.0,172.72,Switch,2001-12-08,14,93,1,7,0,0,0.0,0,6.85,51,5.81,55,0.0,0,66,0.0
Isaac Vallie-Flagg,172.72,155.0,177.8,Orthodox,1978-04-08,16,67,7,29,1,4,0.0,0,5.56,47,5.6,45,0.2,12,58,0.0
Joshua Van,165.1,125.0,165.1,Orthodox,2001-10-10,12,86,2,14,0,0,0.0,0,8.88,54,5.82,60,1.32,63,80,0.0
Mike van Arsdale,187.96,205.0,,Switch,1965-06-20,8,62,5,38,0,0,0.0,0,1.52,41,1.91,41,1.06,14,37,0.0
Matt Van Buren,195.58,205.0,,,1986-06-12,7,54,6,46,0,0,0.0,0,7.73,45,6.82,49,0.0,0,50,0.0
Ron van Clief,177.8,190.0,,Orthodox,1943-01-25,0,0,1,100,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Lloyd Van Dams,185.42,240.0,,Southpaw,1972-03-05,0,0,1,100,0,0,0.0,0,0.0,0,3.01,15,0.0,0,0,0.0
Alain Van der Merckt,,185.0,,,1993-06-11,8,100,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Cameron VanCamp,187.96,155.0,187.96,Switch,1993-04-27,15,62,7,29,1,4,1.0,4,5.31,47,6.41,40,0.0,0,0,0.0
Chad Vance,182.88,185.0,,Orthodox,,7,58,5,42,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Jared Vanderaa,193.04,265.0,203.2,Orthodox,1992-05-12,12,55,10,45,0,0,0.0,0,4.96,44,5.67,45,0.18,50,20,0.0
Austin Vanderford,180.34,170.0,,Orthodox,1990-03-21,4,100,0,0,0,0,0.0,0,3.9,52,5.19,45,0.0,0,100,1.9
Lando Vannata,175.26,155.0,180.34,Orthodox,1992-03-14,12,57,7,33,2,10,0.0,0,4.52,45,4.76,55,1.09,37,69,0.3
Paige VanZant,162.56,115.0,165.1,Orthodox,1994-03-26,8,62,5,38,0,0,0.0,0,3.35,52,2.62,42,1.27,33,34,1.0
Paul Varelans,203.2,300.0,,Orthodox,,9,50,9,50,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
